ソーシャルベンチャーA
ソーシャルベンチャーレポート9.5
NFTコミュニティーに深入り
グロービス修学旅行Ver2
61キロ台（切れ切れボディー）
富士登山
年後半にYELL活動開始
研プロAを獲得！
成績優秀者の受賞
グロービスの学び振り返り
クドレナさんとの飯会
簿記3級取得
まゆこさんとの飯会
体重のコントロール
AtCOder継続
エンタメ研究所に入所
懸垂連続15回
腹筋継続
スラダンの映画鑑賞＠レイトショー
踊るなら中心へ（普段はやらない幹事系を1個実施）
娘との富士山登山
読書52冊/年
走り続ける（150km/月)ダッシュを入れる！
glounサイトの写経
自分の気持ちをもう少し外に出す
Javascriptを自走できるように自主勉強100時間確保
姫路城に行く
関数wowな技を5個身に着ける
パワポ新しい時短技を5個身に着ける
買う前に捨てて（所有物をマイナスにする）
バターコーヒー継続（プチ断食）
炭水化物のコントロール（糖質）
ベジファーストを習慣化
チっを読む
英語の勉強
新しい厚底シューズ購入
新しいネットワーク構築
SROレポート9.0
予習アサインメントの前出し
レポートの前出し
クルマの事故を起こさない！
睡眠を6時間から7時間をキープ
スマホの時間をMin化（継続）
字をきれいに書く
ミニマリストのタグを獲得
謙虚に人から学ぶ
今日が人生で一番若い日！と毎日意識
SROA評価獲得
LINEグループの継続
グロビ学びのクラス雰囲気づくりにコミット
自分の40代、50代のキャリアプランを作成（伊藤羊一さん）
投資の継続
日本全国移動する（新し気付きや発見の機会を造る）
ヒトにやさしくする
隙間時間の活用。眠くなったら立ちながら作業
健康診断PET受診
ユーグレナのDNA検診実施
頭の中の考えを文章化して外在化させる！！
自分の100万分の１を探す
Connecting　dots を完コピ
ちゃんまり飯会
メタバース登録
Twitter継続
ボーダレスジャパンの活動に参加
GTR運転
720万円不労所得を得る
新しい人との出会いを仕組化
高級カウンター寿司屋で食べる
グロビケース2周目着手
グロービスメンターになる
副業を1つ実施
フリーランスの学校をやり切る
新しい出会い12人
選択理論の自分の頭の癖をしる
MotherHouseのバッグを育てる
メタバースの住人になる
簿記2級取得
始動応募
